year,interject,n
1998,1,5777
1999,1,4775
2000,1,5260
2001,1,4420
2002,1,5165
2003,1,4801
2004,1,3411
2005,1,3649
2006,1,4488
2007,1,3091
2008,1,4841
2009,1,4506
2010,1,3307
2011,1,4287
2012,1,4181
2013,1,3328
2014,1,6337
2015,1,5416
2016,1,3610
2017,1,4048
2018,1,3077
2019,1,2366
2020,1,2237
2021,1,2518
2022,1,2155
2023,1,4296
2024,1,3750
2025,1,700
